Date,HOUR_BIN,passenger_count
2018-02-24,0,6069.0
2018-02-24,4,2449.0
2018-02-24,8,5563.0
2018-02-24,12,9063.0
2018-02-24,16,10127.0
2018-02-24,20,9780.0
2018-02-25,0,7020.0
2018-02-25,4,2523.0
2018-02-25,8,4936.0
2018-02-25,12,7347.0
2018-02-25,16,7855.0
2018-02-25,20,5320.0
2018-02-26,0,1527.0
2018-02-26,4,2694.0
2018-02-26,8,7213.0
2018-02-26,12,6727.0
2018-02-26,16,9093.0
2018-02-26,20,5493.0
2018-02-27,0,1476.0
2018-02-27,4,2528.0
2018-02-27,8,7129.0
2018-02-27,12,6561.0
2018-02-27,16,9681.0
2018-02-27,20,6545.0
2018-02-28,0,1610.0
2018-02-28,4,2372.0
2018-02-28,8,7977.0
2018-02-28,12,7142.0
2018-02-28,16,10212.0
2018-02-28,20,7200.0
2018-03-01,0,1871.0
2018-03-01,4,2622.0
2018-03-01,8,7816.0
2018-03-01,12,7518.0
2018-03-01,16,10710.0
2018-03-01,20,9254.0
2018-03-02,0,2398.0
2018-03-02,4,2636.0
2018-03-02,8,7998.0
2018-03-02,12,7787.0
2018-03-02,16,11583.0
2018-03-02,20,7925.0
2018-03-03,0,4850.0
2018-03-03,4,2043.0
2018-03-03,8,6106.0
2018-03-03,12,8824.0
2018-03-03,16,10701.0
2018-03-03,20,10070.0
2018-03-04,0,6818.0
2018-03-04,4,2307.0
2018-03-04,8,4917.0
2018-03-04,12,7377.0
2018-03-04,16,8333.0
2018-03-04,20,5347.0
2018-03-05,0,1797.0
2018-03-05,4,2979.0
2018-03-05,8,7419.0
2018-03-05,12,4681.0
2018-03-05,16,9215.0
2018-03-05,20,5872.0
2018-03-06,0,1460.0
2018-03-06,4,2440.0
2018-03-06,8,7833.0
2018-03-06,12,7330.0
2018-03-06,16,10523.0
2018-03-06,20,7180.0
2018-03-07,0,1637.0
2018-03-07,4,2240.0
2018-03-07,8,6736.0
2018-03-07,12,5780.0
2018-03-07,16,5728.0
2018-03-07,20,3015.0
2018-03-08,0,958.0
2018-03-08,4,2325.0
2018-03-08,8,7050.0
2018-03-08,12,7182.0
2018-03-08,16,10841.0
2018-03-08,20,7717.0
2018-03-09,0,2813.0
2018-03-09,4,2673.0
2018-03-09,8,7901.0
2018-03-09,12,7403.0
2018-03-09,16,11822.0
2018-03-09,20,10203.0
2018-03-10,0,6315.0
2018-03-10,4,2377.0
2018-03-10,8,6212.0
2018-03-10,12,8953.0
2018-03-10,16,11046.0
2018-03-10,20,9909.0
2018-03-11,0,5714.0
2018-03-11,4,3085.0
2018-03-11,8,4397.0
2018-03-11,12,7020.0
2018-03-11,16,7768.0
2018-03-11,20,5973.0
2018-03-12,0,1742.0
2018-03-12,4,2464.0
2018-03-12,8,7691.0
2018-03-12,12,6640.0
2018-03-12,16,9183.0
2018-03-12,20,5908.0
2018-03-13,0,1546.0
